chr	start	end	amplicon_number	gene_name	cytoband	giestain
chr15	66996365	66996634	AMPL244879	SMAD6	q22.31	gneg
chr15	67073237	67073457	AMPL253609	SMAD6	q22.31	gneg
chr15	67073494	67073695	AMPL253610	SMAD6	q22.31	gneg
chr15	67358487	67358697	AMPL244662	SMAD3	q22.33	gneg
chr15	67430214	67430483	AMPL244663	SMAD3	q22.33	gneg
chr15	67457189	67457438	AMPL244664	SMAD3	q22.33	gneg
chr15	67457538	67457786	AMPL244665	SMAD3	q22.33	gneg
chr15	67458947	67459212	AMPL244666	SMAD3	q22.33	gneg
chr15	67462719	67462975	AMPL244667	SMAD3	q22.33	gneg
chr15	67473548	67473809	AMPL244668	SMAD3	q22.33	gneg
chr15	67476971	67477220	AMPL244669	SMAD3	q22.33	gneg
chr15	67479617	67479866	AMPL244670	SMAD3	q22.33	gneg
chr15	67482651	67482900	AMPL254204	SMAD3	q22.33	gneg
chr15	75703818	75704087	AMPL250358	SIN3A	q24.2	gpos25
chr15	89858359	89858628	AMPL250359	FANCI	q26.1	gneg
chr15	90631594	90631863	AMPL253619	IDH2	q26.1	gneg
chr16	133018	133260	AMPL257680	MPG	p13.3	gneg
chr16	347071	347319	AMPL250361	AXIN1	p13.3	gneg
chr16	3634651	3634897	AMPL257681	SLX4	p13.3	gneg
chr16	3640855	3641079	AMPL250363	SLX4	p13.3	gneg
chr16	3777917	3778148	AMPL253624	CREBBP	p13.3	gneg
chr16	3778710	3778930	AMPL124269	CREBBP	p13.3	gneg
chr16	3781326	3781519	AMPL113643	CREBBP	p13.3	gneg
chr16	3781712	3781931	AMPL3836	CREBBP	p13.3	gneg
chr16	3808731	3808986	AMPL253628	CREBBP	p13.3	gneg
chr16	23646588	23646852	AMPL248970	PALB2	p12.2	gneg
chr16	23647116	23647385	AMPL250364	PALB2	p12.2	gneg
chr16	30087560	30087765	AMPL251297	PPP4C	p11.2	gneg
chr16	56782050	56782309	AMPL251298	NUP93	q13	gneg
chr16	67660397	67660645	AMPL125238	CTCF	q22.1	gneg
chr16	68835416	68835675	AMPL250366	CDH1	q22.1	gneg
chr16	68849381	68849615	AMPL253635	CDH1	q22.1	gneg
chr16	68857114	68857383	AMPL253636	CDH1	q22.1	gneg
chr16	89858711	89858980	AMPL257683	FANCA	q24.3	gneg
chr17	7572760	7573029	AMPL115788	TP53	p13.1	gneg
chr17	7573800	7574057	AMPL113790	TP53	p13.1	gneg
chr17	7576458	7576706	AMPL115428	TP53	p13.1	gneg
chr17	7576876	7577145	AMPL253641	TP53	p13.1	gneg
chr17	7577369	7577635	AMPL172761	TP53	p13.1	gneg
chr17	7578045	7578314	AMPL115316	TP53	p13.1	gneg
chr17	7578333	7578580	AMPL2967	TP53	p13.1	gneg
chr17	7579297	7579555	AMPL9336	TP53	p13.1	gneg
chr17	7579680	7579949	AMPL591	TP53	p13.1	gneg
chr17	7801697	7801939	AMPL257685	CHD3	p13.1	gneg
chr17	8049549	8049818	AMPL251306	PER1	p13.1	gneg
chr17	8051878	8052127	AMPL257686	PER1	p13.1	gneg
chr17	11984538	11984806	AMPL253650	MAP2K4	p12	gpos75
chr17	11998792	11999038	AMPL257687	MAP2K4	p12	gpos75
chr17	12016469	12016701	AMPL257688	MAP2K4	p12	gpos75
chr17	12032382	12032631	AMPL257689	MAP2K4	p12	gpos75
chr17	15989453	15989722	AMPL253654	NCOR1	p12	gpos75
chr17	29661816	29662065	AMPL120246	NF1	q11.2	gneg
chr17	29685770	29686039	AMPL253656	NF1	q11.2	gneg
chr17	37879451	37879715	AMPL209823	ERBB2	q12	gpos50
chr17	37881232	37881479	AMPL257692	ERBB2	q12	gpos50
chr17	37881487	37881724	AMPL115816	ERBB2	q12	gpos50
chr17	38510509	38510758	AMPL257693	RARA	q21.2	gpos25
chr17	41244091	41244360	AMPL252694	BRCA1	q21.31	gneg
chr17	41245304	41245516	AMPL252695	BRCA1	q21.31	gneg
chr17	41245705	41245974	AMPL248996	BRCA1	q21.31	gneg
chr17	41246006	41246272	AMPL250376	BRCA1	q21.31	gneg
chr17	41246275	41246510	AMPL252698	BRCA1	q21.31	gneg
chr17	41275987	41276256	AMPL257694	BRCA1	q21.31	gneg
chr17	44144828	44145077	AMPL257695	KANSL1	q21.31	gneg
chr17	48453209	48453476	AMPL250379	EME1	q21.33	gneg
chr17	48457949	48458215	AMPL251314	EME1	q21.33	gneg
chr17	56434801	56435069	AMPL251315	RNF43	q22	gpos75
chr17	56435083	56435306	AMPL251316	RNF43	q22	gpos75
chr17	56435317	56435506	AMPL253672	RNF43	q22	gpos75
chr17	56435641	56435909	AMPL253673	RNF43	q22	gpos75
chr17	56435950	56436155	AMPL253674	RNF43	q22	gpos75
chr17	56438029	56438298	AMPL250381	RNF43	q22	gpos75
chr17	56439765	56440034	AMPL249606	RNF43	q22	gpos75
chr17	56440711	56440980	AMPL249000	RNF43	q22	gpos75
chr17	56448148	56448417	AMPL257699	RNF43	q22	gpos75
chr17	56492571	56492829	AMPL253679	RNF43	q22	gpos75
chr17	63525993	63526262	AMPL249003	AXIN2	q24.1	gpos50
chr17	63534256	63534479	AMPL253681	AXIN2	q24.1	gpos50
chr17	73627488	73627741	AMPL250383	RECQL5	q25.1	gneg
chr18	19750980	19751232	AMPL257559	GATA6	q11.2	gneg
chr18	19751334	19751561	AMPL257560	GATA6	q11.2	gneg
chr18	19756703	19756972	AMPL257561	GATA6	q11.2	gneg
chr18	19761299	19761562	AMPL167407	GATA6	q11.2	gneg
chr18	19762746	19763015	AMPL167408	GATA6	q11.2	gneg
chr18	19780593	19780844	AMPL167409	GATA6	q11.2	gneg
chr18	45368121	45368370	AMPL244732	SMAD2	q21.1	gneg
chr18	45371617	45371866	AMPL254272	SMAD2	q21.1	gneg
chr18	45371983	45372224	AMPL84671	SMAD2	q21.1	gneg
chr18	45374820	45375069	AMPL84512	SMAD2	q21.1	gneg
chr18	45377499	45377768	AMPL244736	SMAD2	q21.1	gneg
chr18	45391266	45391535	AMPL244737	SMAD2	q21.1	gneg
chr18	45394612	45394861	AMPL244738	SMAD2	q21.1	gneg
chr18	45395594	45395827	AMPL244739	SMAD2	q21.1	gneg
chr18	45396714	45396982	AMPL244740	SMAD2	q21.1	gneg
chr18	45422869	45423118	AMPL244741	SMAD2	q21.1	gneg
chr18	46448059	46448305	AMPL253689	SMAD7	q21.1	gneg
chr18	46476041	46476239	AMPL253690	SMAD7	q21.1	gneg
chr18	46476240	46476493	AMPL253691	SMAD7	q21.1	gneg
chr18	48573404	48573661	AMPL44652	SMAD4	q21.2	gpos75
chr18	48575020	48575258	AMPL44653	SMAD4	q21.2	gpos75
chr18	48575494	48575724	AMPL44654	SMAD4	q21.2	gpos75
chr18	48581132	48581381	AMPL44655	SMAD4	q21.2	gpos75
chr18	48584516	48584784	AMPL138094	SMAD4	q21.2	gpos75
chr18	48584785	48585033	AMPL138095	SMAD4	q21.2	gpos75
chr18	48586080	48586346	AMPL138096	SMAD4	q21.2	gpos75
chr18	48591759	48592006	AMPL138097	SMAD4	q21.2	gpos75
chr18	48593375	48593609	AMPL44659	SMAD4	q21.2	gpos75
chr18	48602919	48603168	AMPL138099	SMAD4	q21.2	gpos75
chr18	48604608	48604856	AMPL146646	SMAD4	q21.2	gpos75
chr19	1206931	1207129	AMPL253703	STK11	p13.3	gneg
chr19	1220228	1220497	AMPL249649	STK11	p13.3	gneg
chr19	1221153	1221395	AMPL146649	STK11	p13.3	gneg
chr19	5219770	5220038	AMPL250389	PTPRS	p13.3	gneg
chr19	5231452	5231705	AMPL250391	PTPRS	p13.3	gneg
chr19	7684463	7684698	AMPL250393	XAB2	p13.2	gpos25
chr19	10252678	10252928	AMPL257708	DNMT1	p13.2	gpos25
chr19	11096775	11097044	AMPL253710	SMARCA4	p13.2	gpos25
chr19	11121016	11121265	AMPL117734	SMARCA4	p13.2	gpos25
chr19	11143892	11144138	AMPL253712	SMARCA4	p13.2	gpos25
chr19	15298571	15298840	AMPL250394	NOTCH3	p13.12	gpos25
chr19	15354907	15355176	AMPL250395	BRD4	p13.12	gpos25
chr19	36212291	36212560	AMPL251331	KMT2B	q13.12	gpos25
chr19	36222829	36223096	AMPL250396	KMT2B	q13.12	gpos25
chr19	36229012	36229280	AMPL250397	KMT2B	q13.12	gpos25
chr19	40741661	40741930	AMPL253718	AKT2	q13.2	gpos25
chr19	41754428	41754697	AMPL251334	AXL	q13.2	gpos25
chr19	47422412	47422681	AMPL250399	ARHGAP35	q13.32	gpos25
chr19	47424762	47424951	AMPL249040	ARHGAP35	q13.32	gpos25
chr19	47425119	47425387	AMPL253722	ARHGAP35	q13.32	gpos25
chr19	47491115	47491374	AMPL257713	ARHGAP35	q13.32	gpos25
chr19	50902497	50902766	AMPL257714	POLD1	q13.33	gneg
chr19	50918646	50918889	AMPL242511	POLD1	q13.33	gneg
chr19	50919026	50919268	AMPL242512	POLD1	q13.33	gneg
chr20	3782795	3783064	AMPL176028	CDC25B	p13	gneg
chr20	9519916	9520185	AMPL250404	PAK7	p12.2	gneg
chr20	9560597	9560835	AMPL250405	PAK7	p12.2	gneg
chr20	31375051	31375307	AMPL249045	DNMT3B	q11.21	gneg
chr20	31383118	31383364	AMPL257717	DNMT3B	q11.21	gneg
chr20	31387877	31388126	AMPL257718	DNMT3B	q11.21	gneg
chr20	36031564	36031787	AMPL146662	SRC	q11.23	gneg
chr20	39801217	39801486	AMPL250407	PLCG1	q12	gpos75
chr20	40733088	40733357	AMPL250408	PTPRT	q12	gpos75
chr20	40738857	40739098	AMPL250409	PTPRT	q12	gpos75
chr20	40770400	40770668	AMPL251348	PTPRT	q12	gpos75
chr20	41100766	41101029	AMPL250410	PTPRT	q12	gpos75
chr20	46275822	46276082	AMPL250411	NCOA3	q13.12	gpos25
chr20	46279655	46279916	AMPL250412	NCOA3	q13.12	gpos25
chr20	50090468	50090712	AMPL257719	NFATC2	q13.2	gpos75
chr20	50140402	50140601	AMPL251353	NFATC2	q13.2	gpos75
chr20	54945308	54945574	AMPL250413	AURKA	q13.2	gpos75
chr20	54959179	54959433	AMPL257721	AURKA	q13.2	gpos75
chr20	57415519	57415787	AMPL233967	GNAS	q13.32	gpos50
chr20	57429041	57429293	AMPL253746	GNAS	q13.32	gpos50
chr20	57429890	57430159	AMPL250415	GNAS	q13.32	gpos50
chr20	57484188	57484450	AMPL253748	GNAS	q13.32	gpos50
chr20	62303748	62303998	AMPL257723	RTEL1	q13.33	gneg
chr21	33068324	33068573	AMPL257724	SCAF4	q22.11	gneg
chr22	21288011	21288273	AMPL250418	CRKL	q11.21	gneg
chr22	29130219	29130487	AMPL250419	CHEK2	q12.1	gpos50
chr22	36696887	36697099	AMPL250420	MYH9	q12.3	gpos50
chr22	41547825	41548022	AMPL253754	EP300	q13.2	gpos50
chr22	41548106	41548375	AMPL249051	EP300	q13.2	gpos50
chr22	41572230	41572433	AMPL113384	EP300	q13.2	gpos50
chr22	42032403	42032672	AMPL251363	XRCC6	q13.2	gpos50
chr22	50727880	50728143	AMPL250422	PLXNB2	q13.33	gneg
chrX	41205460	41205705	AMPL166074	DDX3X	p11.4	gneg
chrX	44896786	44896990	AMPL171265	KDM6A	p11.3	gpos75
chrX	44928810	44929079	AMPL253761	KDM6A	p11.3	gpos75
chrX	44948942	44949191	AMPL43318	KDM6A	p11.3	gpos75
chrX	47039682	47039951	AMPL253763	RBM10	p11.23	gneg
chrX	47041478	47041747	AMPL253764	RBM10	p11.23	gneg
chrX	47044944	47045138	AMPL253765	RBM10	p11.23	gneg
chrX	47045407	47045676	AMPL253766	RBM10	p11.23	gneg
chrX	47430183	47430451	AMPL250429	ARAF	p11.23	gneg
chrX	47496213	47496468	AMPL253768	ELK1	p11.23	gneg
chrX	53246232	53246481	AMPL257733	KDM5C	p11.22	gpos25
chrX	53565641	53565881	AMPL251370	HUWE1	p11.22	gpos25
chrX	70349795	70350064	AMPL250431	MED12	q13.1	gneg
chrX	70356175	70356422	AMPL249062	MED12	q13.1	gneg
chrX	70360454	70360723	AMPL253773	MED12	q13.1	gneg
chrX	76854835	76855104	AMPL181095	ATRX	q21.1	gpos100
chrX	128605090	128605339	AMPL257734	SMARCA1	q25	gpos100
chrX	135957288	135957557	AMPL250434	RBMX	q26.3	gneg
chrX	153581276	153581524	AMPL250435	FLNA	q28	gneg
chrX	154299785	154299975	AMPL251376	BRCC3	q28	gneg
